Tree,Row,Node,MaxLevel,Level,Gold,Food,Iron,Valor,Oil,Prerequisite,HaveIt,Priority,Notes
Alliance Duel,4,Incentive - Research,10,5,0,0,0,350,0,None,1,A,
Alliance Duel,4,Incentive - Research,10,6,0,0,0,450,0,None,1,A,Lvl 6 needed for Super Bonus path
Alliance Duel,4,Incentive - Research,10,7,0,0,0,750,0,None,0,B,
Alliance Duel,4,Incentive - Research,10,8,0,0,0,1050,0,None,0,C,
Alliance Duel,4,Incentive - Research,10,9,0,0,0,1400,0,None,0,C,
Alliance Duel,4,Incentive - Research,10,10,0,0,0,1750,0,None,0,D,Total: 6350 Valor
Alliance Duel,5,Incentive - Training,10,1,0,0,0,100,0,Incentive - Building Lv1,1,A,Boosts Fri VS points (3 VP day!)
Alliance Duel,5,Incentive - Training,10,2,0,0,0,100,0,None,1,A,
Alliance Duel,5,Incentive - Training,10,3,0,0,0,200,0,None,1,A,
Alliance Duel,5,Incentive - Training,10,4,0,0,0,200,0,None,1,A,
Alliance Duel,5,Incentive - Training,10,5,0,0,0,350,0,None,1,A,
Alliance Duel,5,Incentive - Training,10,6,0,0,0,450,0,None,1,A,Lvl 6 needed for Super Bonus
Alliance Duel,5,Incentive - Training,10,7,0,0,0,750,0,None,1,B,
Alliance Duel,5,Incentive - Training,10,8,0,0,0,1050,0,None,0,C,
Alliance Duel,5,Incentive - Training,10,9,0,0,0,1400,0,None,0,C,
Alliance Duel,5,Incentive - Training,10,10,0,0,0,1750,0,None,0,D,Total: 6350 Valor
Alliance Duel,5,Incentive - Enemy Kills,10,1,0,0,0,100,0,Incentive - Research Lv1,1,A,Boosts Sat VS points (4 VP day!)
Alliance Duel,5,Incentive - Enemy Kills,10,2,0,0,0,100,0,None,1,A,
Alliance Duel,5,Incentive - Enemy Kills,10,3,0,0,0,200,0,None,1,A,
Alliance Duel,5,Incentive - Enemy Kills,10,4,0,0,0,200,0,None,1,A,
Alliance Duel,5,Incentive - Enemy Kills,10,5,0,0,0,350,0,None,1,A,
Alliance Duel,5,Incentive - Enemy Kills,10,6,0,0,0,450,0,None,1,A,Lvl 6 needed for Super Bonus
Alliance Duel,5,Incentive - Enemy Kills,10,7,0,0,0,750,0,None,1,B,
Alliance Duel,5,Incentive - Enemy Kills,10,8,0,0,0,1050,0,None,0,C,
Alliance Duel,5,Incentive - Enemy Kills,10,9,0,0,0,1400,0,None,0,C,
Alliance Duel,5,Incentive - Enemy Kills,10,10,0,0,0,1750,0,None,0,D,Total: 6350 Valor
Alliance Duel,6,Super Bonus,1,1,0,0,0,450,0,Duel Expert Lv20; Incentive - Training Lv6; Incentive - Enemy Kills Lv6,1,S,Unlocks Tier 3 reward boxes
Alliance Duel,7,Incentive - Intercity Trade,10,1,0,0,0,100,0,Super Bonus Lv2,0,B,
Alliance Duel,7,Incentive - Intercity Trade,10,2,0,0,0,100,0,None,0,B,
Alliance Duel,7,Incentive - Intercity Trade,10,3,0,0,0,200,0,None,0,B,
Alliance Duel,7,Incentive - Intercity Trade,10,4,0,0,0,200,0,None,0,C,
Alliance Duel,7,Incentive - Intercity Trade,10,5,0,0,0,350,0,None,0,C,
Alliance Duel,7,Incentive - Intercity Trade,10,6,0,0,0,450,0,None,0,C,
Alliance Duel,7,Incentive - Intercity Trade,10,7,0,0,0,600,0,None,0,C,
Alliance Duel,7,Incentive - Intercity Trade,10,8,0,0,0,720,0,None,0,D,
Alliance Duel,7,Incentive - Intercity Trade,10,9,0,0,0,840,0,None,0,D,
Alliance Duel,7,Incentive - Intercity Trade,10,10,0,0,0,960,0,None,0,D,Total: 4520 Valor
Alliance Duel,7,Incentive - Secret Mobile Squad,10,1,0,0,0,100,0,Super Bonus Lv2,0,B,
Alliance Duel,7,Incentive - Secret Mobile Squad,10,2,0,0,0,100,0,None,0,B,
Alliance Duel,7,Incentive - Secret Mobile Squad,10,3,0,0,0,200,0,None,0,B,
Alliance Duel,7,Incentive - Secret Mobile Squad,10,4,0,0,0,200,0,None,0,C,
Alliance Duel,7,Incentive - Secret Mobile Squad,10,5,0,0,0,350,0,None,0,C,
Alliance Duel,7,Incentive - Secret Mobile Squad,10,6,0,0,0,450,0,None,0,C,
Alliance Duel,7,Incentive - Secret Mobile Squad,10,7,0,0,0,600,0,None,0,C,
Alliance Duel,7,Incentive - Secret Mobile Squad,10,8,0,0,0,720,0,None,0,D,
Alliance Duel,7,Incentive - Secret Mobile Squad,10,9,0,0,0,840,0,None,0,D,
Alliance Duel,7,Incentive - Secret Mobile Squad,10,10,0,0,0,960,0,None,0,D,Total: 4520 Valor
Alliance Duel,7,Incentive - Survivor Recruit,10,1,0,0,0,100,0,Super Bonus Lv2,0,B,
Alliance Duel,7,Incentive - Survivor Recruit,10,2,0,0,0,100,0,None,0,B,
Alliance Duel,7,Incentive - Survivor Recruit,10,3,0,0,0,200,0,None,0,B,
Alliance Duel,7,Incentive - Survivor Recruit,10,4,0,0,0,200,0,None,0,C,
Alliance Duel,7,Incentive - Survivor Recruit,10,5,0,0,0,350,0,None,0,C,
Alliance Duel,7,Incentive - Survivor Recruit,10,6,0,0,0,450,0,None,0,C,
Alliance Duel,7,Incentive - Survivor Recruit,10,7,0,0,0,600,0,None,0,C,
Alliance Duel,7,Incentive - Survivor Recruit,10,8,0,0,0,720,0,None,0,D,
Alliance Duel,7,Incentive - Survivor Recruit,10,9,0,0,0,840,0,None,0,D,
Alliance Duel,7,Incentive - Survivor Recruit,10,10,0,0,0,960,0,None,0,D,Total: 4520 Valor
Alliance Duel,8,Duel Master II,10,1,0,0,0,480,0,Incentive - Intercity Trade Lv1,0,C,
Alliance Duel,8,Duel Master II,10,2,0,0,0,480,0,Incentive - Intercity Trade Lv2,0,C,
Alliance Duel,8,Duel Master II,10,3,0,0,0,600,0,Incentive - Intercity Trade Lv3,0,C,
Alliance Duel,8,Duel Master II,10,4,0,0,0,600,0,Incentive - Intercity Trade Lv4,0,D,
Alliance Duel,8,Duel Master II,10,5,0,0,0,720,0,Incentive - Intercity Trade Lv5,0,D,
Alliance Duel,8,Duel Master II,10,6,0,0,0,720,0,Incentive - Intercity Trade Lv6,0,D,
Alliance Duel,8,Duel Master II,10,7,0,0,0,840,0,Incentive - Intercity Trade Lv7,0,D,
Alliance Duel,8,Duel Master II,10,8,0,0,0,840,0,Incentive - Intercity Trade Lv8,0,D,
Alliance Duel,8,Duel Master II,10,9,0,0,0,960,0,Incentive - Intercity Trade Lv9,0,D,
Alliance Duel,8,Duel Master II,10,10,0,0,0,960,0,Incentive - Intercity Trade Lv10,0,D,Total: 7200 Valor
Alliance Duel,9,Infinite Roulette,1,1,7777,7777,7777,77,0,Duel Master II Lv10; Becomes available later in the game Lv0,0,D,Novelty node - very low priority
Development,1,Fast Builder I,5,1,1500,500,500,0,0,None,1,A,Construction speed boost
Development,1,Fast Builder I,5,2,2300,800,800,0,0,None,1,A,
Development,1,Fast Builder I,5,3,3400,1100,1100,0,0,None,1,A,
Development,1,Fast Builder I,5,4,5100,1700,1700,0,0,None,1,A,
Development,1,Fast Builder I,5,5,7600,2500,2500,0,0,None,1,A,Total: 19900g
Development,2,Infirmary Expansion I,5,1,3400,1100,1100,0,0,Fast Builder I Lv1,1,A,More hospital capacity
Development,2,Infirmary Expansion I,5,2,5100,1700,1700,0,0,None,1,A,
Development,2,Infirmary Expansion I,5,3,7600,2500,2500,0,0,None,1,A,Lvl 3 unlocks Research Enhancement I
Development,2,Infirmary Expansion I,5,4,15200,5100,5100,0,0,None,1,A,
Development,2,Infirmary Expansion I,5,5,45600,15200,15200,0,0,None,1,A,Total: 76900g
Development,2,Barrack Expansion I,5,1,3400,1100,1100,0,0,Fast Builder I Lv1,1,A,More troop training capacity
Development,2,Barrack Expansion I,5,2,5100,1700,1700,0,0,None,1,A,
Development,2,Barrack Expansion I,5,3,7600,2500,2500,0,0,None,1,A,
Development,2,Barrack Expansion I,5,4,15200,5100,5100,0,0,None,1,A,
Development,2,Barrack Expansion I,5,5,45600,15200,15200,0,0,None,1,A,Total: 76900g
Development,3,Research Enhancement I,5,1,7600,2500,2500,0,0,Infirmary Expansion I Lv3,1,S,Research speed boost - KEY NODE
Development,3,Research Enhancement I,5,2,15200,5100,5100,0,0,None,1,S,
Development,3,Research Enhancement I,5,3,45600,15200,15200,0,0,None,1,S,
Development,3,Research Enhancement I,5,4,91100,30400,30400,0,0,None,1,S,
Development,3,Research Enhancement I,5,5,145800,48600,48600,0,0,None,1,S,Total: 305300g
Development,4,Rapid Field Dressing I,5,1,7600,2500,2500,0,0,Research Enhancement I Lv1,1,B,Healing speed
Development,4,Rapid Field Dressing I,5,2,15200,5100,5100,0,0,None,1,B,Lvl 2 unlocks Master Craftsman
Development,4,Rapid Field Dressing I,5,3,45600,15200,15200,0,0,None,1,B,
Development,4,Rapid Field Dressing I,5,4,91100,30400,30400,0,0,None,1,B,
Development,4,Rapid Field Dressing I,5,5,145800,48600,48600,0,0,None,1,B,Total: 305300g
Development,4,Focused Training I,5,1,7600,2500,2500,0,0,Research Enhancement I Lv1,1,A,Training speed boost
Development,4,Focused Training I,5,2,15200,5100,5100,0,0,None,1,A,
Development,4,Focused Training I,5,3,45600,15200,15200,0,0,None,1,A,
Development,4,Focused Training I,5,4,91100,30400,30400,0,0,None,1,A,
Development,4,Focused Training I,5,5,145800,48600,48600,0,0,None,1,A,Total: 305300g
Development,5,Master Craftsman,5,1,15200,5100,5100,0,0,Rapid Field Dressing I Lv2,1,B,Gear crafting speed
Development,5,Master Craftsman,5,2,91100,30400,30400,0,0,None,1,B,Lvl 2 unlocks Fast Builder II
Development,5,Master Craftsman,5,3,233300,77800,77800,0,0,None,1,B,
Development,5,Master Craftsman,5,4,699800,233300,233300,0,0,None,1,C,
Development,5,Master Craftsman,5,5,1308600,436200,436200,0,0,None,1,C,Total: 2348000g
Development,6,Fast Builder II,5,1,91100,30400,30400,0,0,Master Craftsman Lv2,1,A,Tier II construction speed
Development,6,Fast Builder II,5,2,145800,48600,48600,0,0,None,1,A,
Development,6,Fast Builder II,5,3,233300,77800,77800,0,0,None,1,A,Lvl 3 unlocks Infirmary/Barrack II
Development,6,Fast Builder II,5,4,279900,93300,93300,0,0,None,1,A,
Development,6,Fast Builder II,5,5,699800,233300,233300,0,0,None,1,A,Total: 1449900g
Development,7,Infirmary Expansion II,5,1,233300,77800,77800,0,0,Fast Builder II Lv3,1,B,
Development,7,Infirmary Expansion II,5,2,279900,93300,93300,0,0,None,1,B,Lvl 2 unlocks Research Enhancement II
Development,7,Infirmary Expansion II,5,3,699800,233300,233300,0,0,None,0,B,
Development,7,Infirmary Expansion II,5,4,1189800,396600,396600,0,0,None,0,B,
Development,7,Infirmary Expansion II,5,5,1308600,436200,436200,0,0,None,0,B,Total: 3711400g
Development,7,Barrack Expansion II,5,1,233300,77800,77800,0,0,Fast Builder II Lv3,1,A,
Development,7,Barrack Expansion II,5,2,279900,93300,93300,0,0,None,1,A,
Development,7,Barrack Expansion II,5,3,699800,233300,233300,0,0,None,0,A,
Development,7,Barrack Expansion II,5,4,1189800,396600,396600,0,0,None,0,A,
Development,7,Barrack Expansion II,5,5,1308600,436200,436200,0,0,None,0,A,Total: 3711400g
Development,8,Research Enhancement II,5,1,279900,93300,93300,0,0,Infirmary Expansion II Lv2,1,S,Tier II research speed - KEY
Development,8,Research Enhancement II,5,2,699800,233300,233300,0,0,None,1,S,Lvl 2 unlocks RFD II / FT II
Development,8,Research Enhancement II,5,3,1189800,396600,396600,0,0,None,1,S,
Development,8,Research Enhancement II,5,4,1308600,436200,436200,0,0,None,1,S,
Development,8,Research Enhancement II,5,5,1832100,610700,610700,0,0,None,1,S,Total: 5310200g
Development,9,Rapid Field Dressing II,5,1,699800,233300,233300,0,0,Research Enhancement II Lv2,1,B,
Development,9,Rapid Field Dressing II,5,2,1189800,396600,396600,0,0,None,1,B,Lvl 2 unlocks Extra Barracks
Development,9,Rapid Field Dressing II,5,3,1308600,436200,436200,0,0,None,0,B,
Development,9,Rapid Field Dressing II,5,4,1832100,610700,610700,0,0,None,0,B,
Development,9,Rapid Field Dressing II,5,5,2539350,846450,846450,0,0,None,0,B,Total: 7569650g
Development,9,Focused Training II,5,1,699800,233300,233300,0,0,Research Enhancement II Lv2,1,A,
Development,9,Focused Training II,5,2,1189800,396600,396600,0,0,None,1,A,
Development,9,Focused Training II,5,3,1308600,436200,436200,0,0,None,0,A,
Development,9,Focused Training II,5,4,2539350,846450,846450,0,0,None,0,A,
Development,9,Focused Training II,5,5,0,0,0,0,0,None,0,A,Total: 7569650g
Development,10,Extra Barracks,1,1,1189800,396600,396600,0,0,Rapid Field Dressing II Lv2,1,A,Unlocks additional barracks
Development,11,Fast Builder III,5,1,1189800,396600,396600,0,0,Extra Barracks Lv1,1,B,Tier III - costs jump
Development,11,Fast Builder III,5,2,0,0,0,0,0,None,1,B,DATA MISSING Lv2-5
Development,11,Fast Builder III,5,3,0,0,0,0,0,None,1,,COST DATA MISSING
Development,11,Fast Builder III,5,4,0,0,0,0,0,None,1,,COST DATA MISSING
Development,11,Fast Builder III,5,5,0,0,0,0,0,None,1,,COST DATA MISSING
Development,12,Infirmary Expansion III,5,1,1189800,396600,396600,0,0,Fast Builder III Lv1,1,C,
Development,12,Infirmary Expansion III,5,2,0,0,0,0,0,None,0,,COST DATA MISSING
Development,12,Infirmary Expansion III,5,3,0,0,0,0,0,None,0,,COST DATA MISSING
Development,12,Infirmary Expansion III,5,4,0,0,0,0,0,None,0,,COST DATA MISSING
Development,12,Infirmary Expansion III,5,5,0,0,0,0,0,None,0,,COST DATA MISSING
Development,12,Barrack Expansion III,5,1,1189800,396600,396600,0,0,Fast Builder III Lv1,1,B,
Development,12,Barrack Expansion III,5,2,0,0,0,0,0,None,0,,
Development,12,Barrack Expansion III,5,3,0,0,0,0,0,None,0,,
Development,12,Barrack Expansion III,5,4,0,0,0,0,0,None,0,,
Development,12,Barrack Expansion III,5,5,0,0,0,0,0,None,0,,
Development,13,Research Enhancement III,5,1,1308600,436200,436200,0,0,Infirmary Expansion III Lv1,1,A,Tier III research speed
Development,13,Research Enhancement III,5,2,0,0,0,0,0,None,1,,COST DATA MISSING
Development,13,Research Enhancement III,5,3,0,0,0,0,0,None,1,,COST DATA MISSING
Development,13,Research Enhancement III,5,4,0,0,0,0,0,None,1,,COST DATA MISSING
Development,13,Research Enhancement III,5,5,0,0,0,0,0,None,1,,COST DATA MISSING
Development,14,Rapid Field Dressing III,5,1,1308600,436200,436200,0,0,Research Enhancement III Lv1,1,C,
Development,14,Rapid Field Dressing III,5,2,2539350,846450,846450,0,0,None,0,C,
Development,14,Rapid Field Dressing III,5,3,5890000,1890000,1890000,0,0,None,0,C,
Development,14,Rapid Field Dressing III,5,4,12440000,4110000,4110000,0,0,None,0,C,
Development,14,Rapid Field Dressing III,5,5,31320000,10440000,10440000,0,0,None,0,C,Total: 53498000g
Development,14,Focused Training III,5,1,1308600,436200,436200,0,0,Research Enhancement III Lv1,1,B,
Development,14,Focused Training III,5,2,2539350,846450,846450,0,0,None,0,B,
Development,14,Focused Training III,5,3,5890000,1890000,1890000,0,0,None,0,B,
Development,14,Focused Training III,5,4,12440000,4110000,4110000,0,0,None,0,B,
Development,14,Focused Training III,5,5,31320000,10440000,10440000,0,0,None,0,B,Total: 53498000g
Development,15,Efficient Healing,5,1,1308600,436200,436200,0,0,Rapid Field Dressing III Lv1,1,C,
Development,15,Efficient Healing,5,2,4560000,1440000,1440000,0,0,None,0,C,
Development,15,Efficient Healing,5,3,12440000,4110000,4110000,0,0,None,0,C,
Development,15,Efficient Healing,5,4,31320000,10440000,10440000,0,0,None,0,C,
Development,15,Efficient Healing,5,5,51000000,17000000,17000000,0,0,None,0,C,Total: 100629000g
Development,16,Fast Builder IV,5,1,1832100,610700,610700,0,0,Efficient Healing Lv1,1,C,Tier IV
Development,16,Fast Builder IV,5,2,4560000,1440000,1440000,0,0,None,1,C,
Development,16,Fast Builder IV,5,3,10330000,3440000,3440000,0,0,None,1,C,
Development,16,Fast Builder IV,5,4,0,0,0,0,0,None,1,,
Development,16,Fast Builder IV,5,5,40780000,13560000,13560000,0,0,None,0,D,Lv4 data missing
Development,17,Infirmary Expansion IV,5,1,1832100,610700,610700,0,0,Fast Builder IV Lv1,1,C,
Development,17,Infirmary Expansion IV,5,2,4560000,1440000,1440000,0,0,None,0,,
Development,17,Infirmary Expansion IV,5,3,10330000,3440000,3440000,0,0,None,0,,
Development,17,Infirmary Expansion IV,5,4,0,0,0,0,0,None,0,,
Development,17,Infirmary Expansion IV,5,5,40780000,13560000,13560000,0,0,None,0,D,Lv2-4 data missing
Development,17,Barrack Expansion IV,5,1,1832100,610700,610700,0,0,Fast Builder IV Lv1,1,C,
Development,17,Barrack Expansion IV,5,2,4560000,1440000,1440000,0,0,None,0,,
Development,17,Barrack Expansion IV,5,3,10330000,3440000,3440000,0,0,None,0,,
Development,17,Barrack Expansion IV,5,4,0,0,0,0,0,None,0,,
Development,17,Barrack Expansion IV,5,5,40780000,13560000,13560000,0,0,None,0,D,
Development,18,Research Enhancement IV,5,1,2565000,855000,855000,0,0,Infirmary Expansion IV Lv1,1,A,Tier IV research speed
Development,18,Research Enhancement IV,5,2,5890000,1890000,1890000,0,0,None,1,A,
Development,18,Research Enhancement IV,5,3,12440000,4110000,4110000,0,0,None,1,A,
Development,18,Research Enhancement IV,5,4,31320000,10440000,10440000,0,0,None,1,A,
Development,18,Research Enhancement IV,5,5,51000000,17000000,17000000,0,0,None,0,A,Total: 103215000g
Development,19,Rapid Field Dressing IV,5,1,2565000,855000,855000,0,0,Research Enhancement IV Lv1,1,C,
Development,19,Rapid Field Dressing IV,5,2,5890000,1890000,1890000,0,0,None,0,,
Development,19,Rapid Field Dressing IV,5,3,12440000,4110000,4110000,0,0,None,0,,
Development,19,Rapid Field Dressing IV,5,4,31320000,10440000,10440000,0,0,None,0,,
Development,19,Rapid Field Dressing IV,5,5,51000000,17000000,17000000,0,0,None,0,D,Lv2-4 same as RE IV
Development,19,Focused Training IV,5,1,2565000,855000,855000,0,0,Research Enhancement IV Lv1,1,B,
Development,19,Focused Training IV,5,2,5890000,1890000,1890000,0,0,None,0,,
Development,19,Focused Training IV,5,3,12440000,4110000,4110000,0,0,None,0,,
Development,19,Focused Training IV,5,4,31320000,10440000,10440000,0,0,None,0,,
Development,19,Focused Training IV,5,5,51000000,17000000,17000000,0,0,None,0,C,Lv2-4 same as RE IV
Development,20,Drill Ground Expansion,5,1,4500000,1500000,1500000,0,0,Rapid Field Dressing IV Lv1,1,C,
Development,20,Drill Ground Expansion,5,2,10330000,3440000,3440000,0,0,None,0,C,
Development,20,Drill Ground Expansion,5,3,0,0,0,0,0,None,0,,
Development,20,Drill Ground Expansion,5,4,40780000,13560000,13560000,0,0,None,0,D,Lv3 and Lv5 data missing
Development,20,Drill Ground Expansion,5,5,0,0,0,0,0,None,0,,
Development,21,Survival Skills,5,1,5800000,1900000,1900000,0,0,Drill Ground Expansion Lv1,1,C,
Development,21,Survival Skills,5,2,12440000,4110000,4110000,0,0,None,1,C,
Development,21,Survival Skills,5,3,31320000,10440000,10440000,0,0,None,1,C,
Development,21,Survival Skills,5,4,51000000,17000000,17000000,0,0,None,0,D,
Development,21,Survival Skills,5,5,108440000,36110000,36110000,0,0,None,0,D,Total: 209000000g
Special Forces,1,HP Boost I,10,1,2700000,916100,916100,240,0,None,0,A,Combat HP boost
Special Forces,1,HP Boost I,10,2,2700000,916100,916100,240,0,None,0,A,
Special Forces,1,HP Boost I,10,3,2700000,916100,916100,240,0,None,0,A,
Special Forces,1,HP Boost I,10,4,3800000,1300000,1300000,280,0,None,0,A,
Special Forces,1,HP Boost I,10,5,3800000,1300000,1300000,280,0,None,0,A,
Special Forces,1,HP Boost I,10,6,6900000,2300000,2300000,320,0,None,0,A,
Special Forces,1,HP Boost I,10,7,6900000,2300000,2300000,320,0,None,0,A,
Special Forces,1,HP Boost I,10,8,8900000,2900000,2900000,400,0,None,0,A,
Special Forces,1,HP Boost I,10,9,8900000,2900000,2900000,400,0,None,0,A,
Special Forces,1,HP Boost I,10,10,15500000,5100000,5100000,520,0,None,0,A,Total: 20848000g / 3240v per node
Special Forces,1,Attack Boost I,10,1,2700000,916100,916100,240,0,None,0,A,Combat ATK boost
Special Forces,1,Attack Boost I,10,2,2700000,916100,916100,240,0,None,0,A,
Special Forces,1,Attack Boost I,10,3,2700000,916100,916100,240,0,None,0,A,
Special Forces,1,Attack Boost I,10,4,3800000,1300000,1300000,280,0,None,0,A,
Special Forces,1,Attack Boost I,10,5,3800000,1300000,1300000,280,0,None,0,A,
Special Forces,1,Attack Boost I,10,6,6900000,2300000,2300000,320,0,None,0,A,
Special Forces,1,Attack Boost I,10,7,6900000,2300000,2300000,320,0,None,0,A,
Special Forces,1,Attack Boost I,10,8,8900000,2900000,2900000,400,0,None,0,A,
Special Forces,1,Attack Boost I,10,9,8900000,2900000,2900000,400,0,None,0,A,
Special Forces,1,Attack Boost I,10,10,15500000,5100000,5100000,520,0,None,0,A,
Special Forces,1,Defense Boost I,10,1,2700000,916100,916100,240,0,None,0,A,Combat DEF boost
Special Forces,1,Defense Boost I,10,2,2700000,916100,916100,240,0,None,0,A,
Special Forces,1,Defense Boost I,10,3,2700000,916100,916100,240,0,None,0,A,
Special Forces,1,Defense Boost I,10,4,3800000,1300000,1300000,280,0,None,0,A,
Special Forces,1,Defense Boost I,10,5,3800000,1300000,1300000,280,0,None,0,A,
Special Forces,1,Defense Boost I,10,6,6900000,2300000,2300000,320,0,None,0,A,
Special Forces,1,Defense Boost I,10,7,6900000,2300000,2300000,320,0,None,0,A,
Special Forces,1,Defense Boost I,10,8,8900000,2900000,2900000,400,0,None,0,A,
Special Forces,1,Defense Boost I,10,9,8900000,2900000,2900000,400,0,None,0,A,
Special Forces,1,Defense Boost I,10,10,15500000,5100000,5100000,520,0,None,0,A,
Special Forces,2,Advanced Protection I,10,1,6900000,2300000,2300000,320,0,HP Boost I Lv1; Attack Boost I Lv1; Defense Boost I Lv1,0,,
